	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	max	min
					
ISO_ID	806	16	8.950	31	1
YEAR	806	2,002	7.505	2,015	1,990
D_Popularsupport	465	2.223	0.579	3.792	0.500
poll	279	35.40	9.582	57.20	7.113
B_numvote	712	44.80	17.46	97.58	0
B_gov1vote	656	35.27	12.73	94	0
EPS	730	1.634	0.965	4.133	0.292
EPS_MKT	730	1.093	0.856	3.983	0
TAXES	733	1.370	0.745	4	0
EPS_NMKT	755	2.138	1.263	5.500	0.500
STD	755	2.307	1.712	6	0
TAXCO2	755	0.140	0.777	6	0
TAXDIESEL	733	3.701	1.549	6	0
TAXNOX	755	0.723	1.488	6	0
TAXSOX	755	0.874	1.690	6	0
FIT	755	1.258	1.830	6	0
FIT_SOLAR	755	1.224	1.966	6	0
FIT_WIND	755	1.293	1.989	6	0
TRADESCH	752	0.588	1.074	5.200	0
TRADESCH_CO2	752	0.916	1.840	6	0
TRADESCH_EEF	755	0.159	0.705	6	0
TRADESCH_REC	755	0.473	1.273	6	0
RD_RE	755	1.968	1.271	6	0
RD_SUB	755	1.968	1.271	6	0
ELV_DIESELSO	755	3.160	1.964	6	0
ELV_NOX	755	2.428	2.272	6	0
ELV_PM	755	1.421	1.335	6	0
ELV_SOX	755	2.220	2.108	6	0
deficit_oecd	610	-2.686	4.357	18.63	-32.06
elderly_oecd	806	13.51	4.599	26.65	3.458
gdpr_wb	798	2.533	3.026	25.16	-13.13
unemprate_wb	775	8.379	5.427	33.47	1.777
cpi_full_oecd	747	0.877	0.261	2.616	0.0698
voteshare	643	-2.532	8.005	27.23	-29.86
wedge2	563	31.68	8.284	50.56	8.019
finref_index_ref	754	0.837	0.167	1	0.111
product_index_ref	754	0.543	0.325	1	0
current_index_ref	754	0.894	0.195	1	0.250
capital_index_ref	754	0.856	0.193	1	0.250
labor_index_ref	722	0.628	0.147	1	0.298
oilPrice	806	47.79	33.89	112.0	12.72
gasPrice	775	3.950	2.096	8.895	1.451
yrcurnt	705	1.780	1.289	5	0
energysh	465	0.0272	0.0445	0.265	0.000427
initialEPS	780	1.317	0.568	2.737	0.438
top1share	519	0.113	0.0442	0.296	0.0445
top10share	519	0.346	0.0783	0.651	0.229
top20share	519	0.493	0.0761	0.792	0.377
bot1share	519	-4.91e-05	0.000589	0.00180	-0.00570
bot10share	519	0.0104	0.00641	0.0265	-0.0195
bot20share	519	0.0438	0.0141	0.0784	0.0125
giniMRKT	705	46.70	6.091	69.40	28.23
giniNET	705	31.61	8.376	59.40	17.55
sbCASH	627	12.74	4.689	23.12	0.0314
sbKIND	585	11.08	3.236	19.39	4.240
almpExp	684	0.616	0.463	2.714	0.00400
unempExp	655	1.056	0.870	4.643	0
peopleAffectEQGLOB	496	6.103e+06	1.071e+07	4.672e+07	786,413
urbanCoastLOGCOU	496	0.00731	0.0170	0.0818	0
eventsFloodGLOB	496	165.3	26.92	226	128
coastLengthWRICOU	496	28,511	53,213	265,523	0
majorHurricGLOB	496	3.188	1.777	7	0
cenDistCOU	496	250.2	377.4	1,713	2.944
eventsWildfireGLOB	496	11.81	6.604	30	4
agriLandPCCOU	480	12.56	36.76	208.2	0.365
eventsFlood_coastLengthWRI	496	4.713e+06	8.945e+06	6.001e+07	0
peopleAffectEQ_urbanCoastLOG	496	44,605	223,656	3.824e+06	0
majorHurric_cenDist	496	797.4	1,447	11,990	0
eventsWildfire_agriLandPC	480	148.4	504.3	6,246	1.460
GlobKOF_total	806	53.80	5.995	61.75	43.63
conindex_global	775	808.9	643.4	2,891	179.4
riot_global	775	0.678	0.893	3.839	0.0323
logpop	796	3.251	1.455	7.152	0.682
leftEPS	568	0.0448	0.176	1.042	-0.500
centEPS	568	0.0358	0.200	1.112	-1.400
rightEPS	568	0.00708	0.0693	0.708	-0.517
ninc1	334	1.571e+06	5.931e+06	3.592e+07	8,821
greenvote	728	2.926	3.468	14.35	0
B_execrlc	684	1.930	1.055	3	0
B_maj	707	0.558	0.119	1	0.121
B_herfopp	703	0.498	0.222	1	0.0968
D_DemocraticAccountK	792	5.515	0.798	6	1
D_LegislativeStrength	465	2.588	0.571	4	1.500
					
